name,display_name,data_type,chart_type
"Japan, Exports, All, JPY bn","Japan, Exports, All, JPY bn",None,line
"Japan, Imports, All, JPY bn","Japan, Imports, All, JPY bn",None,line
"Japan, Imports, Group, Chemicals, JPY bn","Japan, Imports, Group, Chemicals, JPY bn",None,line
"Japan, Imports, Group, Electrical machinery, JPY bn","Japan, Imports, Group, Electrical machinery, JPY bn",None,line
"Japan, Imports, Group, Foodstuffs, JPY bn","Japan, Imports, Group, Foodstuffs, JPY bn",None,line
"Japan, Imports, Group, Machinery, JPY bn","Japan, Imports, Group, Machinery, JPY bn",None,line
"Japan, Imports, Group, Manufactured goods, JPY bn","Japan, Imports, Group, Manufactured goods, JPY bn",None,line
"Japan, Imports, Group, Mineral fuels, JPY bn","Japan, Imports, Group, Mineral fuels, JPY bn",None,line
"Japan, Imports, Group, Others, JPY bn","Japan, Imports, Group, Others, JPY bn",None,line
"Japan, Imports, Group, Raw materials, JPY bn","Japan, Imports, Group, Raw materials, JPY bn",None,line
"Japan, Imports, Group, Transport equipment, JPY bn","Japan, Imports, Group, Transport equipment, JPY bn",None,line
"Japan, Imports, IC, JPY bn","Japan, Imports, IC, JPY bn",None,line
"Japan, Imports, Semiconductors, JPY bn","Japan, Imports, Semiconductors, JPY bn",None,line
"Japan, Exports, Car, JPY bn","Japan, Exports, Car, JPY bn",None,line
"Japan, Exports, Group, Chemicals, JPY bn","Japan, Exports, Group, Chemicals, JPY bn",None,line
"Japan, Exports, Group, Electrical machinery, JPY bn","Japan, Exports, Group, Electrical machinery, JPY bn",None,line
"Japan, Exports, Group, Foodstuffs, JPY bn","Japan, Exports, Group, Foodstuffs, JPY bn",None,line
"Japan, Exports, Group, Machinery, JPY bn","Japan, Exports, Group, Machinery, JPY bn",None,line
"Japan, Exports, Group, Manufactured goods, JPY bn","Japan, Exports, Group, Manufactured goods, JPY bn",None,line
"Japan, Exports, Group, Mineral fuels, JPY bn","Japan, Exports, Group, Mineral fuels, JPY bn",None,line
"Japan, Exports, Group, Others, JPY bn","Japan, Exports, Group, Others, JPY bn",None,line
"Japan, Exports, Group, Raw materials, JPY bn","Japan, Exports, Group, Raw materials, JPY bn",None,line
"Japan, Exports, Group, Transport equipment, JPY bn","Japan, Exports, Group, Transport equipment, JPY bn",None,line
"Japan, Exports, IC, JPY bn","Japan, Exports, IC, JPY bn",None,line
"Japan, Exports, Semicon machinery, JPY bn","Japan, Exports, Semicon machinery, JPY bn",None,line
"Japan, Exports, Semiconductors, JPY bn","Japan, Exports, Semiconductors, JPY bn",None,line
"Japan, Exports, Ships, JPY bn","Japan, Exports, Ships, JPY bn",None,line
"Japan, Exports, ASEAN, JPY bn","Japan, Exports, ASEAN, JPY bn",None,line
"Japan, Exports, Africa, JPY bn","Japan, Exports, Africa, JPY bn",None,line
"Japan, Exports, Asia, JPY bn","Japan, Exports, Asia, JPY bn",None,line
"Japan, Exports, Central and Eastern Europe, JPY bn","Japan, Exports, Central and Eastern Europe, JPY bn",None,line
