name,display_name,data_type,chart_type
"Exports, All, Value, USD","TW, Exports, All, Value, USD, bn",r,line
"Exports, Tech, total, Value, USD","TW, Exports, Tech, total, Value, USD, bn",r,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, Value, USD","TW, Exports, Office Machines and Automatic Data-processing Machines SITC 75, Value, USD, bn",r,line
"Exports, Telecommunications equipment SITC 76, Value, USD","TW, Exports, Telecommunications equipment SITC 76, Value, USD, bn",r,line
"Exports, Electrical machinery SITC 77, Value, USD","TW, Exports, Electrical machinery SITC 77, Value, USD, bn",r,line
"Exports, Semiconductors HS 776, Value, USD","TW, Exports, Semiconductors HS 776, Value, USD, bn",r,line
"Exports, Semiconductor manufacturing equipment HS 848620, Value, USD","TW, Exports, Semiconductor manufacturing equipment HS 848620, Value, USD, bn",r,line
"Exports, Non-tech exports, total, Value, USD","TW, Exports, Non-tech exports, total, Value, USD, bn",r,line
"Exports, EU, Value, USD","TW, Exports, EU, Value, USD, bn",r,line
"Exports, DM excl Japan, Value, USD","TW, Exports, DM excl Japan, Value, USD, bn",r,line
"Exports, China and Hong Kong, Value, USD","TW, Exports, China and Hong Kong, Value, USD, bn",r,line
"Exports, North Asia, Value, USD","TW, Exports, North Asia, Value, USD, bn",r,line
"Exports, US, Value, USD","TW, Exports, US, Value, USD, bn",r,line
"Exports, ASEAN, Value, USD","TW, Exports, ASEAN, Value, USD, bn",r,line
"Exports, EM, Value, USD","TW, Exports, EM, Value, USD, bn",r,line
"Imports, All, Value, USD","TW, Imports, All, Value, USD, bn",r,line
"Imports, Fuels, Value, USD","TW, Imports, Fuels, Value, USD, bn",r,line
"Imports, Capital goods, incl parts, Value, USD","TW, Imports, Capital goods, incl parts, Value, USD, bn",r,line
"Imports, Capital goods, Value, USD","TW, Imports, Capital goods, Value, USD, bn",r,line
"Imports, Capital goods, parts, Value, USD","TW, Imports, Capital goods, parts, Value, USD, bn",r,line
"Imports, Semi mfg equipment, Value, USD","TW, Imports, Semi mfg equipment, Value, USD, bn",r,line
"Exports, All, Value, LCU","TW, Exports, All, Value, LCU, bn",r,line
"Exports, Tech, total, Value, LCU","TW, Exports, Tech, total, Value, LCU, bn",r,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, Value, LCU","TW, Exports, Office Machines and Automatic Data-processing Machines SITC 75, Value, LCU, bn",r,line
"Exports, Telecommunications equipment SITC 76, Value, LCU","TW, Exports, Telecommunications equipment SITC 76, Value, LCU, bn",r,line
"Exports, Electrical machinery SITC 77, Value, LCU","TW, Exports, Electrical machinery SITC 77, Value, LCU, bn",r,line
"Exports, Semiconductors HS 776, Value, LCU","TW, Exports, Semiconductors HS 776, Value, LCU, bn",r,line
"Exports, Semiconductor manufacturing equipment HS 848620, Value, LCU","TW, Exports, Semiconductor manufacturing equipment HS 848620, Value, LCU, bn",r,line
"Exports, Non-tech exports, total, Value, LCU","TW, Exports, Non-tech exports, total, Value, LCU, bn",r,line
"Exports, EU, Value, LCU","TW, Exports, EU, Value, LCU, bn",r,line
"Exports, DM excl Japan, Value, LCU","TW, Exports, DM excl Japan, Value, LCU, bn",r,line
"Exports, China and Hong Kong, Value, LCU","TW, Exports, China and Hong Kong, Value, LCU, bn",r,line
"Exports, North Asia, Value, LCU","TW, Exports, North Asia, Value, LCU, bn",r,line
"Exports, US, Value, LCU","TW, Exports, US, Value, LCU, bn",r,line
"Exports, ASEAN, Value, LCU","TW, Exports, ASEAN, Value, LCU, bn",r,line
"Exports, EM, Value, LCU","TW, Exports, EM, Value, LCU, bn",r,line
"Imports, All, Value, LCU","TW, Imports, All, Value, LCU, bn",r,line
"Imports, Fuels, Value, LCU","TW, Imports, Fuels, Value, LCU, bn",r,line
"Imports, Capital goods, incl parts, Value, LCU","TW, Imports, Capital goods, incl parts, Value, LCU, bn",r,line
"Imports, Capital goods, Value, LCU","TW, Imports, Capital goods, Value, LCU, bn",r,line
"Imports, Capital goods, parts, Value, LCU","TW, Imports, Capital goods, parts, Value, LCU, bn",r,line
"Imports, Semi mfg equipment, Value, LCU","TW, Imports, Semi mfg equipment, Value, LCU, bn",r,line
"Exports, All, Work day adjusted, Value, USD","TW, Exports, All, Work day adjusted, Value, USD, bn",r,line
"Exports, All, Value, USD, % YoY","TW, Exports, All, Value, USD, % YoY",p,line
"Exports, Tech, total, Value, USD, % YoY","TW, Exports, Tech, total, Value, USD, % YoY",p,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, Value, USD, % YoY","TW, Exports, Office Machines and Automatic Data-processing Machines SITC 75, Value, USD, % YoY",p,line
