name,display_name,data_type,chart_type
"China, NGDP, Activity, % YoY","China, NGDP, Activity, % YoY",None,line
"China, NGDP, Activity, Primary, Agriculture, % YoY","China, NGDP, Activity, Primary, Agriculture, % YoY",None,line
"China, NGDP, Activity, Primary, Agriculture, CNY bn","China, NGDP, Activity, Primary, Agriculture, CNY bn",None,line
"China, NGDP, Activity, Primary, Agriculture, CNY bn, YTD","China, NGDP, Activity, Primary, Agriculture, CNY bn, YTD",None,line
"China, NGDP, Activity, CNY bn","China, NGDP, Activity, CNY bn",None,line
"China, NGDP, Activity, CNY bn, YTD","China, NGDP, Activity, CNY bn, YTD",None,line
"China, NGDP, Activity, Secondary, Construction, % YoY","China, NGDP, Activity, Secondary, Construction, % YoY",None,line
"China, NGDP, Activity, Secondary, Construction, CNY bn","China, NGDP, Activity, Secondary, Construction, CNY bn",None,line
"China, NGDP, Activity, Secondary, Construction, CNY bn, YTD","China, NGDP, Activity, Secondary, Construction, CNY bn, YTD",None,line
"China, NGDP, Activity, Secondary, Industry, % YoY","China, NGDP, Activity, Secondary, Industry, % YoY",None,line
"China, NGDP, Activity, Secondary, Industry, CNY bn","China, NGDP, Activity, Secondary, Industry, CNY bn",None,line
"China, NGDP, Activity, Secondary, Industry, CNY bn, YTD","China, NGDP, Activity, Secondary, Industry, CNY bn, YTD",None,line
"China, NGDP, Activity, Secondary, Industry, Manufacturing, % YoY","China, NGDP, Activity, Secondary, Industry, Manufacturing, % YoY",None,line
"China, NGDP, Activity, Secondary, Industry, Manufacturing, CNY bn","China, NGDP, Activity, Secondary, Industry, Manufacturing, CNY bn",None,line
"China, NGDP, Activity, Secondary, Industry, Manufacturing, CNY bn, YTD","China, NGDP, Activity, Secondary, Industry, Manufacturing, CNY bn, YTD",None,line
"China, NGDP, Activity, Other, CNY bn","China, NGDP, Activity, Other, CNY bn",None,line
"China, NGDP, Activity, Other, CNY bn, YTD","China, NGDP, Activity, Other, CNY bn, YTD",None,line
"China, NGDP, Activity, Primary, % YoY","China, NGDP, Activity, Primary, % YoY",None,line
"China, NGDP, Activity, Primary, CNY bn","China, NGDP, Activity, Primary, CNY bn",None,line
"China, NGDP, Activity, Primary, CNY bn, YTD","China, NGDP, Activity, Primary, CNY bn, YTD",None,line
"China, NGDP, Activity, Primary, Primary, Agriculture, CNY bn","China, NGDP, Activity, Primary, Primary, Agriculture, CNY bn",None,line
