raw_data_name,data_type,cleaned_name
"China, NGDP, Activity, % YoY",p,"China, NGDP, Activity, LCU, % YoY"
"China, NGDP, Activity, Primary, Agriculture, % YoY",p,"China, NGDP, Activity, Primary, Agriculture, LCU, % YoY"
"China, NGDP, Activity, Primary, Agriculture, CNY bn",b,"China, NGDP, Activity, Primary, Agriculture, LCU"
"China, NGDP, Activity, Primary, Agriculture, CNY bn, YTD",b,"China, NGDP, Activity, Primary, Agriculture, LCU, YTD"
"China, NGDP, Activity, CNY bn",b,"China, NGDP, Activity, LCU"
"China, NGDP, Activity, CNY bn, YTD",b,"China, NGDP, Activity, LCU, YTD"
"China, NGDP, Activity, Secondary, Construction, % YoY",p,"China, NGDP, Activity, Secondary, Construction, LCU, % YoY"
"China, NGDP, Activity, Secondary, Construction, CNY bn",b,"China, NGDP, Activity, Secondary, Construction, LCU"
"China, NGDP, Activity, Secondary, Construction, CNY bn, YTD",b,"China, NGDP, Activity, Secondary, Construction, LCU, YTD"
"China, NGDP, Activity, Secondary, Industry, % YoY",p,"China, NGDP, Activity, Secondary, Industry, LCU, % YoY"
"China, NGDP, Activity, Secondary, Industry, CNY bn",b,"China, NGDP, Activity, Secondary, Industry, LCU"
"China, NGDP, Activity, Secondary, Industry, CNY bn, YTD",b,"China, NGDP, Activity, Secondary, Industry, LCU, YTD"
"China, NGDP, Activity, Secondary, Industry, Manufacturing, % YoY",p,"China, NGDP, Activity, Secondary, Industry, Manufacturing, LCU, % YoY"
"China, NGDP, Activity, Secondary, Industry, Manufacturing, CNY bn",b,"China, NGDP, Activity, Secondary, Industry, Manufacturing, LCU"
"China, NGDP, Activity, Secondary, Industry, Manufacturing, CNY bn, YTD",b,"China, NGDP, Activity, Secondary, Industry, Manufacturing, LCU, YTD"
"China, NGDP, Activity, Other, CNY bn",b,"China, NGDP, Activity, Other, LCU"
"China, NGDP, Activity, Other, CNY bn, YTD",b,"China, NGDP, Activity, Other, LCU, YTD"
"China, NGDP, Activity, Primary, % YoY",p,"China, NGDP, Activity, Primary, LCU, % YoY"
"China, NGDP, Activity, Primary, CNY bn",b,"China, NGDP, Activity, Primary, LCU"
"China, NGDP, Activity, Primary, CNY bn, YTD",b,"China, NGDP, Activity, Primary, LCU, YTD"
"China, NGDP, Activity, Primary, Primary, Agriculture, CNY bn",b,"China, NGDP, Activity, Primary, Primary, Agriculture, LCU"
"China, NGDP, Activity, Primary, Primary, Agriculture, CNY bn, YTD",b,"China, NGDP, Activity, Primary, Primary, Agriculture, LCU, YTD"
"China, NGDP, Activity, Secondary, % YoY",p,"China, NGDP, Activity, Secondary, LCU, % YoY"
"China, NGDP, Activity, Secondary, CNY bn",b,"China, NGDP, Activity, Secondary, LCU"
"China, NGDP, Activity, Secondary, CNY bn, YTD",b,"China, NGDP, Activity, Secondary, LCU, YTD"
"China, NGDP, Activity, Storage and Post, CNY bn",b,"China, NGDP, Activity, Storage and Post, LCU"
"China, NGDP, Activity, Storage and Post, CNY bn, YTD",b,"China, NGDP, Activity, Storage and Post, LCU, YTD"
"China, NGDP, Activity, Tertiary, % YoY",p,"China, NGDP, Activity, Tertiary, LCU, % YoY"
"China, NGDP, Activity, Tertiary, CNY bn",b,"China, NGDP, Activity, Tertiary, LCU"
"China, NGDP, Activity, Tertiary, CNY bn, YTD",b,"China, NGDP, Activity, Tertiary, LCU, YTD"
"China, RGDP, Activity, % QoQ",p,"China, RGDP, Activity, LCU, % QoQ"
"China, RGDP, Activity, % YoY",p,"China, RGDP, Activity, LCU, % YoY"
"China, RGDP, Activity, % YoY, YTD",p,"China, RGDP, Activity, % YoY, YTD, LCU"
"China, RGDP, Activity, Primary, Agriculture, % YoY",p,"China, RGDP, Activity, Primary, Agriculture, LCU, % YoY"
"China, RGDP, Activity, Primary, Agriculture, % YoY, YTD",p,"China, RGDP, Activity, Primary, Agriculture, % YoY, YTD, LCU"
"China, RGDP, Activity, CNY bn",b,"China, RGDP, Activity, LCU"
"China, RGDP, Activity, CNY bn, YTD",b,"China, RGDP, Activity, LCU, YTD"
"China, RGDP, Activity, Secondary, Construction, % YoY",p,"China, RGDP, Activity, Secondary, Construction, LCU, % YoY"
"China, RGDP, Activity, Secondary, Construction, % YoY, YTD",p,"China, RGDP, Activity, Secondary, Construction, % YoY, YTD, LCU"
"China, RGDP, Activity, Secondary, Industry, % YoY",p,"China, RGDP, Activity, Secondary, Industry, LCU, % YoY"
"China, RGDP, Activity, Secondary, Industry, % YoY, YTD",p,"China, RGDP, Activity, Secondary, Industry, % YoY, YTD, LCU"
"China, RGDP, Activity, Secondary, Industry, Manufacturing, % YoY",p,"China, RGDP, Activity, Secondary, Industry, Manufacturing, LCU, % YoY"
"China, RGDP, Activity, Secondary, Industry, Manufacturing, % YoY, YTD",p,"China, RGDP, Activity, Secondary, Industry, Manufacturing, % YoY, YTD, LCU"
"China, RGDP, Activity, Other, % YoY",p,"China, RGDP, Activity, Other, LCU, % YoY"
"China, RGDP, Activity, Other, % YoY, YTD",p,"China, RGDP, Activity, Other, % YoY, YTD, LCU"
"China, RGDP, Activity, Primary, % YoY",p,"China, RGDP, Activity, Primary, LCU, % YoY"
"China, RGDP, Activity, Primary, % YoY, YTD",p,"China, RGDP, Activity, Primary, % YoY, YTD, LCU"
"China, RGDP, Activity, Primary, CNY bn",b,"China, RGDP, Activity, Primary, LCU"
"China, RGDP, Activity, Primary, CNY bn, YTD",b,"China, RGDP, Activity, Primary, LCU, YTD"
"China, RGDP, Activity, Primary, Primary, Agriculture, % YoY",p,"China, RGDP, Activity, Primary, Primary, Agriculture, LCU, % YoY"
"China, RGDP, Activity, Primary, Primary, Agriculture, % YoY, YTD",p,"China, RGDP, Activity, Primary, Primary, Agriculture, % YoY, YTD, LCU"
"China, RGDP, Activity, Secondary, % YoY",p,"China, RGDP, Activity, Secondary, LCU, % YoY"
"China, RGDP, Activity, Secondary, % YoY, YTD",p,"China, RGDP, Activity, Secondary, % YoY, YTD, LCU"
"China, RGDP, Activity, Secondary, CNY bn",b,"China, RGDP, Activity, Secondary, LCU"
"China, RGDP, Activity, Secondary, CNY bn, YTD",b,"China, RGDP, Activity, Secondary, LCU, YTD"
"China, RGDP, Activity, Storage and Post, % YoY",p,"China, RGDP, Activity, Storage and Post, LCU, % YoY"
"China, RGDP, Activity, Storage and Post, % YoY, YTD",p,"China, RGDP, Activity, Storage and Post, % YoY, YTD, LCU"
"China, RGDP, Activity, Tertiary, % YoY",p,"China, RGDP, Activity, Tertiary, LCU, % YoY"
"China, RGDP, Activity, Tertiary, % YoY, YTD",p,"China, RGDP, Activity, Tertiary, % YoY, YTD, LCU"
"China, RGDP, Activity, Tertiary, CNY bn",b,"China, RGDP, Activity, Tertiary, LCU"
"China, RGDP, Activity, Tertiary, CNY bn, YTD",b,"China, RGDP, Activity, Tertiary, LCU, YTD"
"China, NGDP, Activity, Tertiary, Finance and insurance, % YoY",p,"China, NGDP, Activity, Tertiary, Finance and insurance, LCU, % YoY"
"China, NGDP, Activity, Tertiary, Finance and insurance, CNY bn",b,"China, NGDP, Activity, Tertiary, Finance and insurance, LCU"
"China, NGDP, Activity, Tertiary, Finance and insurance, CNY bn, YTD",b,"China, NGDP, Activity, Tertiary, Finance and insurance, LCU, YTD"
"China, NGDP, Activity, Tertiary, Accommodation and food services, % YoY",p,"China, NGDP, Activity, Tertiary, Accommodation and food services, LCU, % YoY"
"China, NGDP, Activity, Tertiary, Accommodation and food services, CNY bn",b,"China, NGDP, Activity, Tertiary, Accommodation and food services, LCU"
"China, NGDP, Activity, Tertiary, Accommodation and food services, CNY bn, YTD",b,"China, NGDP, Activity, Tertiary, Accommodation and food services, LCU, YTD"
"China, NGDP, Activity, Tertiary, Information and communication, % YoY",p,"China, NGDP, Activity, Tertiary, Information and communication, LCU, % YoY"
"China, NGDP, Activity, Tertiary, Information and communication, CNY bn",b,"China, NGDP, Activity, Tertiary, Information and communication, LCU"
"China, NGDP, Activity, Tertiary, Information and communication, CNY bn, YTD",b,"China, NGDP, Activity, Tertiary, Information and communication, LCU, YTD"
